#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -17.6898634485      0.1559124129      0.1703286949
    -17.6748635643      0.1561009012      0.1663880681
    -17.6598636801      0.1562893896      0.1622321255
    -17.6448637959      0.1564778779      0.1579385947
    -17.6298639117      0.1566663663      0.1535883773
    -17.6148640275      0.1568548546      0.1492638308
    -17.5998641433      0.1570433430      0.1450470217
    -17.5848642591      0.1572318314      0.1410179981
    -17.5698643748      0.1574203197      0.1372531240
    -17.5548644906      0.1576088081      0.1338235196
    -17.5398646064      0.1577972964      0.1307936446
    -17.5248647222      0.1579857848      0.1282200562
    -17.5098648380      0.1581742731      0.1261503692
    -17.4948649538      0.1583627615      0.1246224359
    -17.4798650696      0.1585512499      0.1236637569
    -17.4648651853      0.1587397382      0.1232911284
    -17.4498653011      0.1589282266      0.1235105217
    -17.4348654169      0.1591167149      0.1243171881
    -17.4198655327      0.1593052033      0.1256959743
    -17.4048656485      0.1594936916      0.1276218319
    -17.3898657643      0.1596821800      0.1300605009
    -17.3748658801      0.1598706684      0.1329693454
    -17.3598659959      0.1600591567      0.1362983195
    -17.3448661116      0.1602476451      0.1399910404
    -17.3298662274      0.1605178445      0.1439859467
    -17.3148663432      0.1607941773      0.1482175209
    -17.2998664590      0.1610705102      0.1526175530
    -17.2848665748      0.1613468430      0.1571164243
    -17.2698666906      0.1616231759      0.1616443897
    -17.2548668064      0.1618995087      0.1661328351
    -17.2398669222      0.1621758416      0.1705154863
    -17.2248670379      0.1624521744      0.1747295444
    -17.2098671537      0.1627285073      0.1787167232
    -17.1948672695      0.1630048402      0.1824241622
    -17.1798673853      0.1632811730      0.1858051917
    -17.1648675011      0.1631909991      0.1888199276
    -17.1498676169      0.1625407799      0.1914356788
    -17.1348677327      0.1618905606      0.1936271529
    -17.1198678484      0.1612403413      0.1953764560
    -17.1048679642      0.1605901220      0.1966728883
    -17.0898680800      0.1599399027      0.1975125462
    -17.0748681958      0.1594878185      0.1978977537
    -17.0598683116      0.1594762035      0.1978363499
    -17.0448684274      0.1594645885      0.1973408735
    -17.0298685432      0.1594529735      0.1964276859
    -17.0148686590      0.1594413585      0.1951160840
    -16.9998687747      0.1594297435      0.1934274494
    -16.9848688905      0.1594181285      0.1913844857
    -16.9698690063      0.1594065135      0.1890105843
    -16.9548691221      0.1593948985      0.1863293567
    -16.9398692379      0.1593832835      0.1833643570
    -16.9248693537      0.1593716685      0.1801390092
    -16.9098694695      0.1593600535      0.1766767372
    -16.8948695853      0.1593484386      0.1730012834
    -16.8798697010      0.1593368236      0.1691371873
    -16.8648698168      0.1593252086      0.1651103841
    -16.8498699326      0.1593135936      0.1609488728
    -16.8348700484      0.1593019786      0.1566833965
    -16.8198701642      0.1592903636      0.1523480751
    -16.8048702800      0.1593952071      0.1479809300
    -16.7898703958      0.1595625044      0.1436242454
    -16.7748705115      0.1597298017      0.1393247175
    -16.7598706273      0.1598970990      0.1351333544
    -16.7448707431      0.1600643963      0.1311051033
    -16.7298708589      0.1602316936      0.1272981933
    -16.7148709747      0.1603989909      0.1237732029
    -16.6998710905      0.1605662882      0.1205918696
    -16.6848712063      0.1607335855      0.1178156821
    -16.6698713221      0.1609008828      0.1155042983
    -16.6548714378      0.1610681801      0.1137138517
    -16.6398715536      0.1612354774      0.1124952100
    -16.6248716694      0.1614027747      0.1118922549
    -16.6098717852      0.1615700720      0.1119402558
    -16.5948719010      0.1617373693      0.1126644029
    -16.5798720168      0.1619046666      0.1140785632
    -16.5648721326      0.1620719638      0.1161843126
    -16.5498722484      0.1622392611      0.1189702870
    -16.5348723641      0.1624065584      0.1224118843
    -16.5198724799      0.1625738557      0.1264713334
    -16.5048725957      0.1627411530      0.1310981350
    -16.4898727115      0.1629084503      0.1362298637
    -16.4748728273      0.1630757476      0.1417933088
    -16.4598729431      0.1632430449      0.1477059198
    -16.4448730589      0.1634103422      0.1538775125
    -16.4298731746      0.1635776395      0.1602121822
    -16.4148732904      0.1637449368      0.1666103686
    -16.3998734062      0.1639122341      0.1729710094
    -16.3848735220      0.1640795314      0.1791937216
    -16.3698736378      0.1642666364      0.1851809494
    -16.3548737536      0.1644916500      0.1908400222
    -16.3398738694      0.1647166635      0.1960850685
    -16.3248739852      0.1649416771      0.2008387415
    -16.3098741009      0.1651666906      0.2050337160
    -16.2948742167      0.1653917042      0.2086139266
    -16.2798743325      0.1634863263      0.2115355239
    -16.2648744483      0.1634158287      0.2137675332
    -16.2498745641      0.1633453311      0.2152922085
    -16.2348746799      0.1632748334      0.2161050814
    -16.2198747957      0.1632043358      0.2162147101
    -16.2048749115      0.1631338382      0.2156421398
    -16.1898750272      0.1630633406      0.2144200910
    -16.1748751430      0.1629928430      0.2125918967
    -16.1598752588      0.1629223454      0.2102102137
    -16.1448753746      0.1628518478      0.2073355373
    -16.1298754904      0.1627813501      0.2040345528
    -16.1148756062      0.1627108525      0.2003783618
