#      energy (eV)      DOS (tetra.)      DOS (gauss.)
    -19.3400000000      0.0939093026      0.0961355300
    -19.3250000000      0.1160864822      0.1002755684
    -19.3100000000      0.1382636619      0.1042152649
    -19.2950000000      0.1604408415      0.1079401840
    -19.2800000000      0.1826180211      0.1114424555
    -19.2650000000      0.2047952007      0.1147210732
    -19.2500000000      0.2269723803      0.1177819252
    -19.2350000000      0.1281253082      0.1206375377
    -19.2200000000      0.1301483995      0.1233065281
    -19.2050000000      0.1321714908      0.1258127780
    -19.1900000000      0.1341945821      0.1281843480
    -19.1750000000      0.1362176734      0.1304521713
    -19.1600000000      0.1382407647      0.1326485767
    -19.1450000000      0.1402638560      0.1348056975
    -19.1300000000      0.1422869473      0.1369538354
    -19.1150000000      0.1443100386      0.1391198492
    -19.1000000000      0.1463331299      0.1413256415
    -19.0850000000      0.1483562212      0.1435868129
    -19.0700000000      0.1503793125      0.1459115480
    -19.0550000000      0.1524024038      0.1482997879
    -19.0400000000      0.1544254950      0.1507427329
    -19.0250000000      0.1564485863      0.1532227052
    -19.0100000000      0.1584716776      0.1557133857
    -18.9950000000      0.1604947689      0.1581804235
    -18.9800000000      0.1625178602      0.1605824017
    -18.9650000000      0.1645409515      0.1628721277
    -18.9500000000      0.1665640428      0.1649982038
    -18.9350000000      0.1685871341      0.1669068211
    -18.9200000000      0.1706102254      0.1685437149
    -18.9050000000      0.1709582626      0.1698562095
    -18.8900000000      0.1681677414      0.1707952813
    -18.8750000000      0.1653772201      0.1713175668
    -18.8600000000      0.1625866988      0.1713872457
    -18.8450000000      0.1597961776      0.1709777339
    -18.8300000000      0.1570056563      0.1700731285
    -18.8150000000      0.1542151351      0.1686693553
    -18.8000000000      0.1514246138      0.1667749793
    -18.7850000000      0.1486340926      0.1644116486
    -18.7700000000      0.1458435713      0.1616141556
    -18.7550000000      0.1430530501      0.1584301057
    -18.7400000000      0.1427904631      0.1549192004
    -18.7250000000      0.1434638483      0.1511521474
    -18.7100000000      0.1441372335      0.1472092232
    -18.6950000000      0.1448106188      0.1431785212
    -18.6800000000      0.1454840040      0.1391539258
    -18.6650000000      0.1461573893      0.1352328650
    -18.6500000000      0.1468307745      0.1315138931
    -18.6350000000      0.1475041597      0.1280941674
    -18.6200000000      0.1481775450      0.1250668830
    -18.6050000000      0.1488509302      0.1225187350
    -18.5900000000      0.1495243154      0.1205274774
    -18.5750000000      0.1501977007      0.1191596509
    -18.5600000000      0.1508710859      0.1184685468
    -18.5450000000      0.1515444711      0.1184924750
    -18.5300000000      0.1522178564      0.1192533953
    -18.5150000000      0.1528912416      0.1207559650
    -18.5000000000      0.1535646269      0.1229870472
    -18.4850000000      0.1542380121      0.1259157096
    -18.4700000000      0.1549113973      0.1294937317
    -18.4550000000      0.1555847826      0.1336566211
    -18.4400000000      0.1562581678      0.1383251232
    -18.4250000000      0.1569315530      0.1434071904
    -18.4100000000      0.1576049383      0.1488003572
    -18.3950000000      0.1582783235      0.1543944540
    -18.3800000000      0.1589517087      0.1600745727
    -18.3650000000      0.1596250940      0.1657241871
    -18.3500000000      0.1602984792      0.1712283206
    -18.3350000000      0.1609718645      0.1764766475
    -18.3200000000      0.1616452497      0.1813664170
    -18.3050000000      0.1623186349      0.1858050892
    -18.2900000000      0.1629920202      0.1897125869
    -18.2750000000      0.1636654054      0.1930230798
    -18.2600000000      0.1643387906      0.1956862363
    -18.2450000000      0.1531039656      0.1976679058
    -18.2300000000      0.1530667830      0.1989502142
    -18.2150000000      0.1530296004      0.1995310870
    -18.2000000000      0.1529924178      0.1994232378
    -18.1850000000      0.1529552352      0.1986526872
    -18.1700000000      0.1529180527      0.1972568959
    -18.1550000000      0.1528808701      0.1952826155
    -18.1400000000      0.1528436875      0.1927835688
    -18.1250000000      0.1528065049      0.1898180798
    -18.1100000000      0.1527693224      0.1864467698
    -18.0950000000      0.1527321398      0.1827304292
    -18.0800000000      0.1526949572      0.1787281609
    -18.0650000000      0.1526577746      0.1744958735
    -18.0500000000      0.1526205920      0.1700851772
    -18.0350000000      0.1525834095      0.1655427146
    -18.0200000000      0.1525462269      0.1609099299
    -18.0050000000      0.1525090443      0.1562232542
    -17.9900000000      0.1524718617      0.1515146663
    -17.9750000000      0.1524346792      0.1468125616
    -17.9600000000      0.1523974966      0.1421428540
